scorer,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000
bodyparts,nose,nose,nose,head,head,head,soine1,soine1,soine1,spine2,spine2,spine2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
49,393.387939453125,312.7973327636719,1.0,381.6106262207031,292.3472595214844,0.9999996423721313,364.4241027832031,275.9300231933594,0.9999997615814209,325.2627868652344,270.9267883300781,1.0
50,393.3981628417969,317.21221923828125,0.9999998807907104,381.7320251464844,295.08099365234375,0.9999979734420776,364.6310729980469,277.251708984375,0.9999997615814209,326.0117492675781,270.26092529296875,1.0
51,391.5467834472656,321.5905456542969,1.0,383.1383972167969,296.8930358886719,0.9999974966049194,364.789794921875,279.00714111328125,0.9999991655349731,326.603271484375,269.8583984375,1.0
52,390.1416015625,326.7571716308594,1.0,381.5531921386719,302.9267578125,0.9999945163726807,364.3202209472656,279.8697509765625,0.9999978542327881,327.5645446777344,269.7041931152344,1.0
53,388.5126037597656,332.7001953125,1.0,380.6170959472656,306.625732421875,0.9999992847442627,364.5669860839844,283.2735595703125,0.9999988079071045,328.7153015136719,269.1549072265625,0.9999998807907104
54,386.3573913574219,336.8496398925781,1.0,379.3517150878906,310.3155212402344,0.9999992847442627,364.7223815917969,285.71978759765625,0.9999991655349731,331.9542541503906,267.7339172363281,1.0
55,385.44183349609375,341.0230712890625,1.0,379.52081298828125,312.76019287109375,0.9999961853027344,364.7345886230469,287.56072998046875,0.9999984502792358,334.45245361328125,266.8448486328125,0.9999998807907104
56,384.24615478515625,344.3262634277344,0.9999997615814209,379.1208190917969,315.96099853515625,0.999997615814209,367.1236267089844,289.1796875,0.9999990463256836,338.1629638671875,263.481201171875,0.9999994039535522
57,383.7511901855469,348.3234558105469,0.9999995231628418,379.24664306640625,319.9220886230469,0.9999967813491821,368.37554931640625,292.2251892089844,0.9999991655349731,340.93634033203125,262.5408935546875,0.999998927116394
58,384.799560546875,352.4598388671875,0.9998873472213745,379.668701171875,323.33050537109375,0.9999980926513672,369.21331787109375,293.6015625,0.9999994039535522,344.9620056152344,261.68426513671875,0.9999998807907104
